"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
1.588806917E0;-1.740897363E-1;-7.308779830E-1;1.036496158E0
1.598767917E0;-4.225888002E-1;-5.333034897E-1;8.229976496E-1
1.608729917E0;-4.120152801E-1;-1.418628073E-1;8.310486808E-1
1.618691917E0;-2.615848401E-1;3.010041368E-1;1.095060700E0
1.628652917E0;-8.392976403E-2;6.850691414E-1;1.740547700E0
1.638614917E0;-3.967277348E-1;3.481385422E-1;2.905069814E0
1.648575917E0;-1.348437511E0;-1.023331736E0;3.657458826E0
1.658537917E0;-2.158927967E0;-3.241098772E0;2.269949050E0
1.668499917E0;-3.128742477E0;-5.257657270E0;9.420782429E-1
1.678460917E0;-3.879001641E0;-6.148432043E0;4.774678427E-1
1.688422917E0;-3.468752220E0;-5.608924658E0;2.399539429E-1
1.698383917E0;-2.211716630E0;-4.504323056E0;1.941825235E-1
1.708345917E0;-1.181444833E0;-3.727550277E0;1.751977837E-1
1.718307917E0;-4.225607336E-2;-2.895647026E0;-1.012755293E-1
1.728268917E0;8.474398881E-1;-2.359683638E0;-4.145386460E-1
1.738230917E0;1.350572330E0;-2.107907794E0;-1.141627341E0
1.748191917E0;1.324069825E0;-2.286804526E0;-1.661590700E0
1.758153917E0;1.006463981E0;-2.411261342E0;-2.178037544E0
1.768115917E0;4.057084733E-1;-2.558385474E0;-2.763299392E0
1.778076917E0;-2.711868453E-1;-2.322534522E0;-2.986765649E0
1.788038917E0;-6.714521456E-1;-1.957840759E0;-2.732425801E0
1.797999917E0;-6.442462206E-1;-1.620998452E0;-1.886957594E0
1.807961917E0;-1.224208152E-1;-1.049549482E0;-8.416640085E-1
1.817922917E0;5.399500197E-1;-4.326109278E-1;1.242184540E0
1.827884917E0;3.941432655E-1;-3.356535673E-1;1.955294296E0
1.837846917E0;4.040051794E-1;1.564352381E-1;1.972339222E0
1.847807917E0;9.231929058E-1;7.023424011E-1;2.271198600E0
1.857769917E0;1.101464571E0;8.480181777E-1;2.001179736E0
1.867730917E0;8.221904415E-1;7.841443634E-1;1.600221395E0
1.877692917E0;7.464532113E-1;8.228172630E-1;1.699359474E0
1.887654917E0;9.388844937E-1;7.623623157E-1;2.028971845E0
1.897615917E0;7.484956437E-1;9.051431358E-2;2.263270653E0
1.907577917E0;1.476913118E-1;-6.871028030E-1;1.935531146E0
1.917538917E0;-1.165602095E0;-9.543930638E-1;2.399217832E-1
1.927500917E0;-2.336968959E0;-7.839771330E-1;-2.471482693E0
1.937462917E0;-2.883442132E0;-4.310877281E-1;-4.901199895E0
1.947423917E0;-4.951159675E0;-2.493492490E-1;-7.424632468E0
1.957385917E0;-4.850538449E0;-2.221187657E-1;-6.519490501E0
1.967346917E0;-1.824962198E0;7.616700053E-2;-3.914627849E0
1.977308917E0;2.080598373E0;9.780623004E-1;-7.156594348E-1
1.987270917E0;3.701269382E0;1.675527539E0;2.462418047E0
1.997231917E0;4.482189006E0;2.092108910E0;4.014987119E0
2.007193917E0;3.949062102E0;1.613834151E0;4.486623534E0
2.017154917E0;1.820524161E0;5.487930563E-1;3.758979646E0
2.027116917E0;-1.038454975E0;-6.767207792E-1;1.701315222E0
2.037077917E0;-3.582483780E0;-1.726012107E0;-2.302423755E-1
2.047039917E0;-5.502887741E0;-1.694798208E0;-9.942231274E-1
2.057001917E0;-6.940277774E0;-1.167810588E0;-1.155205087E0
2.066962917E0;-6.276591316E0;-3.272832781E-3;-9.447244003E-2
2.076924917E0;-4.744341318E0;1.160631377E0;1.237212506E0
2.086885917E0;-3.786666212E0;1.249464469E0;2.129209785E0
2.096847917E0;-2.428177922E0;1.651645610E0;2.409287907E0
2.106809917E0;-2.071220609E0;1.866208457E0;1.640860859E0
2.116770917E0;-2.515901359E0;1.896788810E0;2.847585252E-1
2.126732917E0;-4.323679175E0;1.872890363E0;-1.863317886E0
2.136693917E0;-5.680891603E0;1.701236431E0;-4.018336405E0
2.146655917E0;-3.845938268E0;2.232250881E0;-2.742746137E0
2.156617917E0;-1.092378582E0;3.363834752E0;-8.361294727E-1
2.166578917E0;1.001764866E0;4.406151229E0;2.209395285E-1
2.176540917E0;2.541982865E0;4.129305156E0;2.939899631E-1
2.186501917E0;3.098826075E0;3.010385769E0;-4.151556735E-1
2.196463917E0;3.103448299E0;2.034935127E0;-1.890830498E0
2.206424917E0;2.153281018E0;1.276330233E0;-3.285652217E0
2.216386917E0;1.218121201E-1;-4.203136486E-1;-4.716644812E0
2.226348917E0;-1.697856009E0;-8.794845302E-1;-3.379221700E0
2.236309917E0;-3.617530237E0;-4.454901220E0;-1.746395208E0
2.246271917E0;-2.925623946E0;-6.082264951E0;-7.849009931E-1
2.256232917E0;-9.344201446E-1;-4.959612994E0;-1.340753978E0
2.266194917E0;1.594934489E0;-4.043133861E0;-2.744415517E0
2.276156917E0;4.619668740E0;-2.777996369E0;-1.849947643E0
2.286117917E0;5.477535968E0;-1.819568580E0;1.359261438E0
2.296079917E0;6.232888057E0;-1.761239388E0;1.954501852E0
2.306040917E0;5.500397412E0;-2.301410871E0;1.238228460E0
2.316002917E0;4.052941981E0;-3.374942123E0;1.749525515E0
2.325963917E0;1.944772232E0;-3.854899126E0;2.399175732E0
2.335925917E0;5.810489291E-1;-3.844817649E0;2.926276495E0
2.345887917E0;-2.696385026E-1;-3.801975392E0;3.485469117E0
2.355848917E0;-1.174282286E0;-4.490810433E0;3.514267824E0
2.365810917E0;-8.863075000E-1;-3.232812683E0;3.827716005E0
2.375771917E0;-8.438280630E-1;-1.175652289E0;3.016693161E0
2.385733917E0;1.106439382E-1;-3.372805551E-1;2.525494301E0
2.395695917E0;3.682822001E-1;-5.873457956E-1;3.248468603E0
2.405656917E0;-1.628880499E0;-1.466660026E0;2.143196471E0
2.415618917E0;-3.725220746E0;-2.527399032E0;2.018171891E0
2.425579917E0;-4.126912767E0;-1.886268500E0;3.433925034E0
2.435541917E0;-3.844636093E0;-1.490690913E0;3.123170080E0
2.445503917E0;-4.196937268E0;-1.463659527E0;3.439046903E0
2.455464917E0;-4.194189076E0;-9.225596523E-1;4.530111616E0
2.465426917E0;-3.700567131E0;-3.462104228E-1;4.629328340E0
2.475387917E0;-3.255298735E0;1.425004461E-1;3.125560130E0
2.485349917E0;-2.274979118E0;6.025590813E-1;-4.533615267E-1
2.495310917E0;-1.165605018E0;5.146181273E-1;-2.759952446E0
2.505272917E0;-1.103475428E0;-5.251767370E-1;-8.048237725E-1
2.515234917E0;-1.512852445E0;-1.745192728E0;2.135115473E0
2.525195917E0;-1.841530284E0;-2.106960838E0;2.945102191E0
2.535157917E0;-1.582951205E0;-1.713874164E0;1.657297236E0
2.545118917E0;-1.144617022E0;-7.920416129E-1;3.553924517E-1
2.555081292E0;-1.407399080E0;1.913460392E-1;1.197321193E-1
2.565043292E0;-1.539715138E0;6.506477523E-1;-2.096777911E-1
2.575004292E0;-1.454878471E0;5.505726564E-1;-5.973785944E-1
2.584966292E0;-1.066929161E0;4.689373398E-1;-4.052507825E-1
2.594927292E0;-2.896324718E-1;6.186623132E-1;-2.469980836E-2
2.604889292E0;-3.353536052E-1;7.728381872E-1;-1.995913441E-1
