"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
1.339939083E0;7.199728088E0;-3.039878540E0;4.722679138E-1
1.349972083E0;7.122788086E0;-3.069067841E0;1.302291870E-2
1.360004083E0;6.867119751E0;-3.019969940E0;-6.560856628E-1
1.370037083E0;6.977590027E0;-3.050207062E0;-1.491049347E0
1.380069083E0;7.403604126E0;-3.401077423E0;-2.040556641E0
1.390102083E0;7.463329926E0;-3.478765869E0;-2.129621429E0
1.400134083E0;7.707322540E0;-3.257076874E0;-2.243534546E0
1.410166083E0;8.220006409E0;-3.337459717E0;-2.417622528E0
1.420199083E0;8.173153839E0;-3.731440430E0;-2.562670898E0
1.430231083E0;7.771089935E0;-4.416565704E0;-2.715503082E0
1.440264083E0;7.551795959E0;-5.301974487E0;-2.847528534E0
1.450296083E0;7.762707367E0;-6.107599182E0;-2.880010986E0
1.460329083E0;7.961943054E0;-6.999594269E0;-2.885699158E0
1.470361083E0;7.941286011E0;-7.845634918E0;-2.787054291E0
1.480393083E0;7.841892700E0;-8.555309143E0;-2.545307007E0
1.490426083E0;8.055199127E0;-8.913065186E0;-2.166295166E0
1.500458083E0;8.275989990E0;-8.879983978E0;-1.850302277E0
1.510491083E0;8.383915558E0;-8.435558167E0;-1.697769470E0
1.520523083E0;8.578959961E0;-8.215366058E0;-1.544188843E0
1.530556083E0;9.037755890E0;-8.485853577E0;-1.085991669E0
1.540588083E0;9.002429352E0;-8.796158295E0;2.721191254E0
1.550620083E0;9.271419983E0;-9.496701508E0;1.543290710E0
1.560653083E0;9.789193268E0;-1.074480606E1;-1.402134247E0
1.570685083E0;8.889713745E0;-1.038375687E1;-1.341660004E0
1.580718083E0;8.834328918E0;-1.063029419E1;-1.695823517E0
1.590750083E0;9.082961884E0;-1.138562347E1;-1.999841309E0
1.600783083E0;8.623716888E0;-1.151270920E1;-1.150507507E0
1.610815083E0;8.126151581E0;-1.167886368E1;-3.956272888E-1
1.620848083E0;7.538024597E0;-1.176194092E1;2.344125366E-1
1.630880083E0;6.880891113E0;-1.143981079E1;6.646179199E-1
1.640912083E0;6.499484253E0;-1.092218719E1;7.861651611E-1
1.650945083E0;6.511010284E0;-1.050440598E1;9.403445435E-1
1.660977083E0;6.158792725E0;-1.003123993E1;8.901988220E-1
1.671010083E0;5.486241302E0;-9.496851196E0;7.360194397E-1
1.681042083E0;5.103487244E0;-8.982520752E0;6.095324707E-1
1.691075083E0;4.694537659E0;-8.661887512E0;4.837939453E-1
