t_Android;t_unix;x;y;z;a
2421847754088414;1715087722853;-0.15792629;2.0165513;10.061819;3
2421847756304967;1715087722856;-0.15792629;2.0165513;10.061819;3
2421847758519261;1715087722858;-0.15792629;2.0165513;10.061819;3
2421847760734593;1715087722860;-0.15792629;2.0165513;10.061819;3
2421847762949863;1715087722862;-0.15792629;2.0165513;10.061819;3
2421847765165745;1715087722864;-0.15792629;2.0165513;10.061819;3
2421847767381383;1715087722866;-0.15792629;2.0165513;10.061819;3
2421847769596898;1715087722869;-0.15792629;2.0165513;10.061819;3
2421847771812596;1715087722871;-0.15792629;2.0165513;10.061819;3
2421847774029271;1715087722874;-0.15792629;2.0165513;10.061819;3
2421847776243382;1715087722875;-0.15792629;2.0165513;10.061819;3
2421847778459019;1715087722877;-0.15792629;2.0165513;10.061819;3
2421847780674229;1715087722880;-0.15792629;2.0165513;10.061819;3
2421847782890111;1715087722882;-0.15792629;2.0165513;10.061819;3
2421847785104832;1715087722885;-0.15792629;2.0165513;10.061819;3
2421847787318638;1715087722886;-0.15792629;2.0165513;10.061819;3
2421847789537144;1715087722889;-0.15792629;2.0165513;10.061819;3
2421847791753392;1715087722891;-0.15792629;2.0165513;10.061819;3
2421847793968113;1715087722893;-0.15792629;2.0165513;10.061819;3
2421847796183018;1715087722895;-0.15792629;2.0165513;10.061819;3
2421847798398656;1715087722897;-0.15792629;2.0165513;10.061819;3
2421847800615513;1715087722900;-0.15792629;2.0165513;10.061819;3
2421847802829869;1715087722902;-0.15792629;2.0165513;10.061819;3
2421847805045384;1715087722905;-0.15792629;2.0165513;10.061819;3
2421847807260716;1715087722907;-0.15792629;2.0165513;10.061819;3
2421847809477513;1715087722909;-0.15792629;2.0165513;10.061819;3
2421847811691807;1715087722911;-0.15792629;2.0165513;10.061819;3
2421847813907200;1715087722913;-0.15792629;2.0165513;10.061819;3
2421847816122472;1715087722915;-0.15792629;2.0165513;10.061819;3
2421847818338292;1715087722918;-0.15792629;2.0165513;10.061819;3
2421847820553685;1715087722920;-0.15792629;2.0165513;10.061819;3
2421847822769200;1715087722922;-0.15792629;2.0165513;10.061819;3
2421847824984898;1715087722924;-0.15792629;2.0165513;10.061819;3
2421847827201695;1715087722926;-0.15792629;2.0165513;10.061819;3
2421847829416051;1715087722929;-0.15792629;2.0165513;10.061819;3
2421847831631627;1715087722931;-0.15792629;2.0165513;10.061819;3
2421847833846593;1715087722933;-0.15792629;2.0165513;10.061819;3
2421847836062474;1715087722935;-0.15792629;2.0165513;10.061819;3
2421847838278050;1715087722937;-0.15792629;2.0165513;10.061819;3
2421847840493687;1715087722939;-0.15792629;2.0165513;10.061819;3
2421847842709507;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847844925755;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847847140111;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847849355687;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847851571019;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847853786839;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847856001316;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847858214329;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847860433628;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847862650181;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847864865330;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847867079808;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847869295323;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847871511937;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847873726536;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847875941868;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847878157506;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847880374241;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847882588658;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847884804234;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847887019444;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847889235081;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847891450657;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847893666173;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847895881871;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847898098424;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847900312962;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847902528355;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847904743687;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847906959630;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847909174779;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847911390355;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847913606175;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847915822789;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847918037083;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847920252415;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847922467686;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847924683568;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847926899205;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847929111485;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847931317418;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847933546849;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847935761204;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847937980016;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847940192052;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847942408665;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847944623204;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847946838597;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847949054234;1715087724620;-0.15792629;2.0165513;10.061819;3
2421847951270970;1715087724620;-0.15792629;2.0165513;10.061819;3
