"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
4.622835131E0;4.736957550E-1;4.492206573E-1;2.270019531E0
4.641146349E0;2.429139614E0;2.218189240E-1;2.053888798E0
4.659457567E0;3.169168234E0;-3.722534180E-1;1.291227818E0
4.677768602E0;2.928575039E0;2.717618942E-1;-6.615996361E-2
4.696080126E0;3.259537458E0;1.633840561E0;-1.446044207E0
4.714391283E0;2.828033447E0;2.135987282E0;-1.642313004E0
4.732701036E0;1.773124933E0;1.520534515E0;-1.349466801E0
4.750999804E0;1.186876655E0;8.777599335E-1;-1.116847038E0
4.769313768E0;1.082470417E0;4.629001617E-1;-6.785328984E-1
4.787624254E0;1.328178883E0;5.249786377E-1;-7.866084576E-3
4.805935838E0;1.535092592E0;9.026222229E-1;2.118935585E-1
4.824248399E0;1.755176544E0;1.484059334E0;7.662671804E-2
4.842558397E0;1.984972239E0;1.989715576E0;-5.669674277E-1
4.860870287E0;1.831628442E0;1.983033180E0;-2.884745359E0
4.879181200E0;1.634732246E0;1.285660744E0;-4.849775791E0
4.897505175E0;2.349013567E0;-2.096681595E-1;-4.541893005E0
4.915813768E0;3.829680920E0;-1.363124847E0;-3.282899857E0
4.934126513E0;5.587961674E0;-1.763739586E0;-2.251554012E0
4.952436388E0;6.640223980E0;-2.048014641E0;-1.623422503E0
4.970747667E0;6.748194218E0;-4.018704414E0;-9.124107957E-1
4.989058702E0;6.309579372E0;-6.440231323E0;-5.605853200E-1
5.007369921E0;4.038684845E0;-6.524202347E0;-1.908746123E0
5.025681261E0;2.282984495E0;-4.480790138E0;-1.518409371E0
5.043992235E0;1.944703817E0;-2.713860512E0;4.589708745E-1
5.062304491E0;6.424438953E-2;-2.966618538E0;1.907013655E0
5.080614550E0;-3.185162067E0;-4.732782364E0;3.031941414E0
5.098924853E0;-4.782308102E0;-6.127540588E0;2.286003113E0
5.117238634E0;-4.724632263E0;-5.637641907E0;1.409940004E0
5.135548204E0;-4.683093548E0;-2.798438072E0;1.962034345E0
5.153859484E0;-4.302203655E0;3.776960373E-1;2.482957125E0
5.172170519E0;-2.360476732E0;2.657628536E0;1.891603470E0
5.190482714E0;-7.899086475E-1;3.072410583E0;1.695637941E0
5.208793077E0;2.120745182E-1;2.994936943E0;2.508985996E0
5.227104357E0;8.881801367E-1;3.561904430E0;4.130694389E0
5.245410509E0;7.567516565E-1;4.792664528E0;5.024313450E0
5.263726427E0;2.837450504E-1;5.241247654E0;5.390202522E0
5.282037462E0;-4.510384798E-1;4.751993179E0;5.232514858E0
5.300348925E0;-1.265771627E0;4.187900066E0;5.000415325E0
5.318659838E0;-1.749945045E0;4.295411110E0;4.436314106E0
5.336971056E0;-1.632823706E0;4.154200077E0;2.753062487E0
5.355282213E0;-1.345031738E0;3.280863762E0;-4.228496552E-2
5.373588732E0;-9.004091024E-1;1.859968185E0;-3.867904663E0
5.391907580E0;-7.254266739E-2;-2.399559021E-1;-7.361824989E0
5.410215929E0;2.197794199E0;-3.310785294E0;-9.094898224E0
5.428527025E0;2.896975517E0;-7.238073349E0;-9.760019302E0
5.446833422E0;2.974259853E-2;-5.741920471E0;-3.151536942E0
5.465149218E0;-4.959640503E-1;-3.216161728E-1;-7.840056419E-1
5.483460436E0;-5.489215851E-1;-9.787187576E-1;-2.951175690E0
5.501770189E0;-1.749768734E0;-7.069751740E0;-1.454880714E0
5.520079943E0;-2.075473070E0;-1.197419071E1;5.126544476E0
5.538394213E0;-1.569275141E0;-7.165041924E0;1.184386158E1
5.556705187E0;-5.486949682E-1;4.149675369E-1;7.818272114E0
5.575016466E0;-7.909890413E-1;3.098485470E0;4.868484020E0
5.593327684E0;-2.866317034E0;1.713102341E0;4.938388824E0
5.611638964E0;-1.439206481E0;6.603717804E-1;4.138395309E0
5.629949877E0;-2.547342777E-1;-4.615592957E-2;3.862055302E0
5.648261095E0;3.018293381E-1;-4.396200180E-1;2.159746885E0
5.666572374E0;1.341467500E0;-6.371860504E-1;1.211346507E0
5.684883470E0;2.212295771E0;-9.807586670E-2;-3.050839901E-1
5.703195666E0;1.875521183E0;-1.721000671E-2;-9.874497652E-1
5.721505724E0;1.570461273E0;7.824611664E-1;-8.343268633E-1
