"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
4.598279040E0;-1.315875053E-1;9.446678162E-1;6.141981125E0
4.616589293E0;7.934665680E-1;1.487785339E0;6.238763809E0
4.634899851E0;1.361346245E0;1.977945328E0;6.086415291E0
4.653210226E0;1.865938663E0;2.277288437E0;5.648670197E0
4.671519318E0;2.683335543E0;2.195700169E0;4.941515923E0
4.689831708E0;3.764284134E0;1.868417740E0;4.058105469E0
4.708141655E0;4.171040535E0;1.410236359E0;2.659436226E0
4.726451725E0;3.012829781E0;2.506017685E-1;-6.440646648E0
4.744761978E0;2.849280596E0;-5.963993073E-2;-3.712054491E0
4.763071986E0;3.728086472E0;5.713825226E-1;1.684198618E0
4.781382604E0;3.006890774E0;4.432830811E-1;2.649140596E0
4.799693406E0;3.241434097E0;3.933153152E-1;2.727325201E0
4.818003476E0;4.537423134E0;1.333291054E0;3.242226362E0
4.836314033E0;6.003939152E0;1.889930725E0;4.375740528E0
4.854610248E0;7.305958271E0;9.744300842E-1;5.390740871E0
4.872935882E0;7.483999252E0;-2.680177689E-1;4.324005127E0
4.891245280E0;5.672063351E0;-2.670455933E0;-4.728588104E0
4.909555594E0;5.469321251E0;-3.937648773E0;-2.867775440E0
4.927866151E0;4.227291107E0;-5.638888359E0;-2.302637398E-1
4.946176526E0;1.913469315E0;-5.906838417E0;-8.134837747E-1
4.964486657E0;-1.754804373E0;-4.657640457E0;-3.020140648E0
4.982797093E0;-3.421715021E0;-5.946928978E0;-7.584435940E-1
5.001107589E0;-4.119924068E0;-7.998744011E0;3.306207657E0
5.019417720E0;-5.708086967E0;-9.213717461E0;5.836193085E0
5.037716864E0;-6.942863464E0;-9.864542961E0;6.507776737E0
5.056032915E0;-5.355238914E0;-7.779212475E0;2.909820557E0
5.074348905E0;-5.376286030E0;-5.133142471E0;3.459790468E0
5.092659402E0;-5.980893612E0;-2.688544273E0;5.959357738E0
5.110968922E0;-4.472722530E0;-2.909436226E-1;6.437075615E0
5.129282044E0;-1.159395695E0;2.141529083E0;4.476141930E0
5.147590527E0;1.725702286E0;3.194518566E0;4.876232624E0
5.165900962E0;3.056531906E0;3.287714005E0;7.113857746E0
5.184205416E0;5.705380440E-1;2.904008389E0;6.821755409E0
5.202525252E0;-3.321724415E0;2.303174496E0;5.997115135E0
5.220832087E0;-4.672423363E0;2.458925724E0;5.956718922E0
5.239142645E0;-5.402020454E0;3.293483496E0;5.552353859E0
5.257452958E0;-6.156036377E0;4.229799271E0;4.896622658E0
5.275763333E0;-6.647303581E0;4.927492142E0;4.978810787E0
5.294073891E0;-6.522593021E0;5.490921021E0;5.485778809E0
5.312371326E0;-5.920080662E0;5.585590839E0;5.483569622E0
5.330694518E0;-4.994915485E0;4.509217262E0;2.212160349E0
5.349004832E0;-1.598062992E0;6.292419434E-1;-5.466064453E0
5.367303976E0;5.854633331E0;-8.058063507E0;-1.871239424E0
5.385625765E0;1.147329044E1;-1.473830891E1;-1.398080826E0
5.403935956E0;1.371100712E1;-7.848103046E0;-3.558114529E0
5.422246820E0;1.252358437E1;2.516725063E0;-4.323257446E0
5.440555790E0;4.054956436E0;6.510800838E0;5.687733650E0
5.458866959E0;-2.812103748E0;2.397207737E0;1.050900936E1
5.477177822E0;-3.198996067E0;-7.258452892E0;1.004220200E1
5.495488074E0;-1.142710686E0;-1.046016502E1;2.813200951E0
5.513799548E0;-3.789443016E0;-7.573054790E0;-1.483652782E1
5.532109190E0;-7.760038376E0;-4.079564095E0;2.070839643E0
5.550419443E0;-1.095473862E1;-5.928691864E0;5.996559620E0
5.568729818E0;-1.092483425E1;-8.430265427E0;4.154275417E0
5.587040131E0;-1.038512039E1;-8.215141296E0;2.734550476E0
5.605350445E0;-8.944358826E0;-5.211442471E0;2.803623438E0
5.623647026E0;-7.160023212E0;-2.837426662E0;2.567650557E0
5.641972233E0;-5.820876122E0;-8.929395676E-1;2.614078999E0
5.660282363E0;-4.753510475E0;4.255647659E-1;3.422021389E0
5.678592188E0;-3.534366369E0;1.311838150E0;4.258281708E0
5.696897741E0;-2.359573841E0;1.528343201E0;5.193222046E0
5.715212877E0;-5.586757660E-1;1.077494621E0;6.358165264E0
5.733523069E0;2.080528736E0;1.916284561E-1;7.340816021E0
5.751833626E0;4.695710182E0;-2.931308746E-2;7.390864372E0
5.770145222E0;5.245909691E0;8.530149460E-1;5.976894379E0
5.788454559E0;4.375565529E0;1.773618698E0;4.214618206E0
5.806764873E0;3.065787792E0;2.444403648E0;2.598366737E0
5.825071952E0;1.905025721E0;2.320701599E0;7.211120129E-1
5.843381289E0;-1.979559541E0;9.282360077E-1;-8.079816818E0
5.861696058E0;2.394361019E0;4.336748123E-1;-5.451349258E0
5.880002222E0;4.245678902E0;6.029176712E-1;-2.619317532E0
5.898302953E0;3.283979654E0;7.708272934E-1;-1.812413931E0
5.916627182E0;1.239666700E0;8.003892899E-1;-5.108453274E0
5.934937557E0;1.303094149E0;1.062429905E0;-1.903670788E0
5.953243049E0;3.448891878E0;1.362976074E0;2.181261182E-1
5.971558429E0;3.499167204E0;5.408611298E-1;-2.161974669E0
5.989868743E0;4.017258167E0;6.462383270E-2;-4.229693413E0
6.008179545E0;5.448073387E0;-7.301921844E-1;-2.807457685E0
6.026489858E0;4.967682838E0;-2.881072044E0;-1.546190143E0
6.044800111E0;1.582396984E0;-4.484674454E0;-1.408364058E0
6.063110425E0;1.819033623E-1;-7.412405014E0;8.816374540E-1
6.081419578E0;-7.715201378E-1;-1.210572624E1;3.842566490E0
6.099730929E0;-5.155354977E0;-1.817065239E1;5.313553810E0
6.118044295E0;-1.056739330E1;-2.359092903E1;-8.095556498E-1
6.136351923E0;-1.375168419E1;-1.991751862E1;-3.363382339E0
6.154662298E0;-1.065554523E1;-8.504293442E0;-5.127117634E-1
6.172972611E0;-1.047048664E1;-3.511876106E0;3.049782753E0
6.191283413E0;-8.760225296E0;-4.748349190E-1;4.749264240E0
6.209593483E0;-7.200645447E0;1.740323305E0;4.332276821E0
6.227903736E0;-5.080516338E0;2.934561491E0;3.206369400E0
6.246214294E0;-3.093955994E0;3.117962360E0;3.035138130E0
