"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
3.638282320E-1;4.930111885E0;2.172683001E0;1.105394363E1
3.662758880E-1;4.673780918E0;1.808973908E0;1.090289593E1
3.687244300E-1;4.618745804E0;1.622034669E0;1.073779202E1
3.711737530E-1;4.592424870E0;1.344467282E0;1.063968563E1
3.736222420E-1;4.566103935E0;1.078564763E0;1.058465099E1
3.760699500E-1;4.539782524E0;8.081758618E-1;1.049372387E1
3.785184920E-1;4.546961308E0;4.465605319E-1;1.023978519E1
3.809678150E-1;4.503890514E0;2.264208496E-1;9.840184212E0
3.834163050E-1;4.484747887E0;1.316052489E-2;9.406784058E0
3.858639610E-1;4.506283283E0;-1.615155339E-1;8.982954979E0
3.883125550E-1;4.542175770E0;-3.696911037E-1;8.614161491E0
3.907618250E-1;4.649852753E0;-6.164509058E-1;8.415556908E0
3.932103670E-1;4.769493580E0;-8.030911088E-1;8.236095428E0
3.956580230E-1;4.896313190E0;-1.023529887E0;8.104190826E0
3.981065650E-1;5.009075165E0;-1.308275819E0;7.996514320E0
4.005558880E-1;5.100002289E0;-1.470987678E0;7.874480247E0
4.030044300E-1;5.226821899E0;-1.789532185E0;7.773981571E0
4.054520860E-1;5.281857014E0;-1.885245085E0;7.680661678E0
4.079006280E-1;5.367998600E0;-2.134098768E0;7.663911819E0
4.103499500E-1;5.377569675E0;-2.373680115E0;7.613662720E0
4.127984400E-1;5.320142269E0;-2.522035122E0;7.584649563E0
4.152461480E-1;5.248357296E0;-2.675175667E0;7.582256794E0
4.176946900E-1;5.114359379E0;-2.816651344E0;7.642376423E0
4.201440130E-1;4.932504654E0;-2.881257534E0;7.642376423E0
4.225925030E-1;4.783850670E0;-2.874078989E0;7.680661678E0
4.250401590E-1;4.558925152E0;-2.854936600E0;7.711768150E0
4.274887530E-1;4.451248169E0;-2.854936600E0;7.656733513E0
4.299380230E-1;4.362713814E0;-2.840579510E0;7.541578770E0
4.323865650E-1;4.295415878E0;-2.838186741E0;7.424330235E0
4.348342210E-1;4.316951275E0;-2.888436079E0;7.304689407E0
4.372827630E-1;4.302594185E0;-2.905185699E0;7.053442955E0
4.397320860E-1;4.266701698E0;-2.890828848E0;6.897610188E0
4.421806280E-1;4.214059830E0;-2.936292410E0;6.682256222E0
4.446282840E-1;4.204488277E0;-2.967399120E0;6.457031727E0
4.470768250E-1;4.168596268E0;-3.115754128E0;6.119643688E0
4.495261480E-1;4.137489319E0;-3.235395432E0;5.793920994E0
4.519746380E-1;4.106382847E0;-3.360121250E0;5.358427048E0
4.544222940E-1;4.044169426E0;-3.489333630E0;4.891527653E0
4.568708880E-1;3.895814419E0;-3.687937975E0;4.431806564E0
4.593202110E-1;3.763910055E0;-3.879662752E0;3.996013880E0
