"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
4.482261480E-1;9.187142849E-1;-2.666653633E0;2.473931313E0
4.506746380E-1;9.602518678E-1;-2.749728918E0;2.470266342E0
4.531222940E-1;9.993461370E-1;-2.848686218E0;2.464157820E0
4.555708880E-1;1.033553600E0;-2.968412161E0;2.458049297E0
4.580202110E-1;1.065317631E0;-3.106463671E0;2.455605984E0
4.604687000E-1;1.095860004E0;-3.256732225E0;2.454384327E0
4.629163570E-1;1.127624035E0;-3.419217587E0;2.450719118E0
4.653649500E-1;1.158166409E0;-3.581702948E0;2.453162670E0
4.678142210E-1;1.183822036E0;-3.757627010E0;2.445832491E0
4.702627630E-1;1.216807723E0;-3.935994387E0;2.439723969E0
4.727104190E-1;1.249793530E0;-4.116805077E0;2.422620296E0
4.751589610E-1;1.281557560E0;-4.308610916E0;2.399408102E0
4.776082840E-1;1.319430113E0;-4.505303860E0;2.368865728E0
4.800567730E-1;1.365854502E0;-4.700775146E0;2.329771519E0
4.825044820E-1;1.417165637E0;-4.895024300E0;2.291898966E0
4.849530230E-1;1.478250384E0;-5.081943989E0;2.258913279E0
4.874023460E-1;1.550330400E0;-5.265197754E0;2.241809368E0
4.898508360E-1;1.627297044E0;-5.448451996E0;2.245474577E0
4.922984920E-1;1.717702508E0;-5.630484581E0;2.267465115E0
4.947470860E-1;1.812994719E0;-5.818625450E0;2.307780981E0
4.971964090E-1;1.918060422E0;-6.011653423E0;2.363978863E0
4.996448980E-1;2.030456305E0;-6.207124233E0;2.434837103E0
5.020925550E-1;2.152625799E0;-6.402595520E0;2.510582209E0
5.045411480E-1;2.279681921E0;-6.594401360E0;2.592435837E0
5.069904190E-1;2.409181595E0;-6.771547318E0;2.682841063E0
5.094389610E-1;2.533794403E0;-6.926702499E0;2.778133392E0
5.118866170E-1;2.647412062E0;-7.052536964E0;2.875868797E0
5.143351590E-1;2.743925810E0;-7.144164085E0;2.978643894E0
5.167844820E-1;2.825779438E0;-7.199140549E0;3.081266403E0
5.192329710E-1;2.890529156E0;-7.229682922E0;3.185110331E0
5.216806800E-1;2.938175201E0;-7.235791206E0;3.295062780E0
5.241292210E-1;2.967495918E0;-7.224795818E0;3.407458782E0
5.265785440E-1;2.974826097E0;-7.202805519E0;3.530849934E0
5.290270340E-1;2.962609291E0;-7.163711071E0;3.664014578E0
5.314746900E-1;2.929623365E0;-7.108735085E0;3.804509401E0
5.339232840E-1;2.872203827E0;-7.041541576E0;3.952334404E0
5.363726070E-1;2.794015408E0;-6.968240261E0;4.097716331E0
5.388210960E-1;2.698723078E0;-6.890051842E0;4.244319439E0
5.412687530E-1;2.589992285E0;-6.811863422E0;4.384814262E0
5.437173460E-1;2.472709656E0;-6.737339973E0;4.522865772E0
5.461666170E-1;2.355427027E0;-6.653042793E0;4.657252312E0
5.486151590E-1;2.238144398E0;-6.561415672E0;4.785530090E0
5.510628150E-1;2.125748396E0;-6.455128193E0;4.905256271E0
5.535113570E-1;2.025569439E0;-6.319520473E0;5.018873692E0
5.559606800E-1;1.935164094E0;-6.179025650E0;5.127604485E0
5.584092210E-1;1.858197331E0;-6.025092125E0;5.233891964E0
5.608568780E-1;1.793447495E0;-5.882153511E0;5.336514473E0
5.633054190E-1;1.747023106E0;-5.746545792E0;5.439136505E0
5.657547420E-1;1.716480851E0;-5.626819611E0;5.539315701E0
5.682032320E-1;1.701820493E0;-5.531527519E0;5.629721165E0
5.706508880E-1;1.701820493E0;-5.449673653E0;5.711574554E0
5.730994820E-1;1.715259075E0;-5.378815651E0;5.782433033E0
5.755488050E-1;1.737249613E0;-5.318952560E0;5.834965706E0
5.779972940E-1;1.762905240E0;-5.252981186E0;5.870394707E0
5.804449500E-1;1.787339091E0;-5.185787678E0;5.889942169E0
5.828935440E-1;1.809329629E0;-5.113708019E0;5.891163826E0
5.853428150E-1;1.828876734E0;-5.036741257E0;5.880168438E0
5.877913570E-1;1.848423839E0;-4.948779106E0;5.859399796E0
5.902390130E-1;1.861862421E0;-4.860816956E0;5.830079079E0
5.926875550E-1;1.875301123E0;-4.765524864E0;5.798315048E0
5.951368780E-1;1.889961362E0;-4.671454430E0;5.762885571E0
5.975854190E-1;1.902178407E0;-4.571275234E0;5.727456570E0
6.000330750E-1;1.914395332E0;-4.472318172E0;5.693249226E0
6.024816170E-1;1.916838646E0;-4.370917797E0;5.652933121E0
6.049309400E-1;1.914395332E0;-4.275625229E0;5.610173702E0
6.073794300E-1;1.905843496E0;-4.171781540E0;5.560084343E0
6.098271380E-1;1.893626451E0;-4.067937374E0;5.503886700E0
6.122756800E-1;1.880187869E0;-3.970201731E0;5.442801952E0
6.147250030E-1;1.869192600E0;-3.877352953E0;5.380495548E0
6.171734920E-1;1.858197331E0;-3.786947489E0;5.316967487E0
6.196211480E-1;1.849645495E0;-3.706315756E0;5.253438950E0
6.220697420E-1;1.844758749E0;-3.636679173E0;5.191132545E0
6.245190130E-1;1.845980406E0;-3.567042589E0;5.128826141E0
