iso3	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
ECU	76	82	99	85	99	99	94	85	92	91	89	82	99	99	99	99	99	99	98	99	99	99	99	99	99	99	99	99	98	99	98	98	94	90	89	88	84	88	90	86	81	75	76
EGY	50	50	50	53	53	80	77	72	80	83	89	92	92	95	95	93	95	98	99	98	98	98	98	98	98	98	99	98	98	98	98	98	95	98	96	96	96	86	95	96	96	97	97
SLV	56	47	46	48	22	50	51	55	56	62	75	67	62	79	82	99	98	95	99	99	99	92	92	91	94	84	93	99	99	99	96	95	90	90	87	99	91	89	89	90	85	77	75
GNQ	NA	NA	NA	NA	NA	28	30	40	49	49	94	95	97	98	99	99	99	99	99	73	73	73	72	72	72	72	72	72	71	71	71	75	78	82	85	77	85	85	85	85	85	85	85
ERI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	60	68	75	83	96	98	89	91	94	97	99	99	99	99	95	96	96	97	97	97	97	97	97	97	97	97	97	97	97
EST	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98	98	99	99	99	99	99	99	99	99	99	99	99	99	98	98	97	97	99	97	96	95	95	95	94	92	92	91	90	86
SWZ	NA	59	66	72	73	79	91	94	95	96	96	71	97	98	99	99	85	85	86	87	88	89	90	91	92	93	94	95	96	97	98	98	99	99	99	98	97	98	98	98	97	97	97
ETH	NA	5	6	7	8	11	13	28	27	44	64	29	26	36	65	61	57	54	54	54	56	57	58	59	60	64	66	69	71	74	76	80	74	68	69	70	72	73	71	69	70	68	68
FJI	95	98	98	99	94	99	96	98	99	99	99	99	98	99	99	99	99	95	95	96	96	97	97	97	98	98	99	99	99	99	99	99	99	99	90	91	93	94	96	97	99	99	99
FIN	90	90	90	90	86	83	80	90	99	91	91	99	99	99	99	99	99	99	99	99	99	99	99	98	98	98	98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FRA	80	80	81	81	96	82	84	76	75	75	74	78	77	79	81	83	82	82	81	83	83	84	85	84	85	81	83	78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAB	NA	NA	82	80	77	80	90	95	95	96	96	97	97	97	94	90	90	90	90	89	89	90	90	91	91	92	92	92	93	93	94	94	97	92	91	98	94	93	87	92	85	86	82
GMB	85	96	91	96	98	92	96	97	96	98	98	97	97	98	99	99	99	99	99	98	99	99	99	99	99	99	97	97	95	94	92	90	98	98	96	98	98	94	94	88	85	81	83
GEO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67	30	30	70	70	76	94	95	95	94	91	87	91	95	95	96	95	95	96	96	95	95	96	96	98	96	97	96	96	96	95
GHA	NA	NA	NA	31	41	41	55	69	70	70	71	77	83	85	86	87	87	88	90	98	99	94	92	92	92	99	99	99	99	99	99	98	98	98	99	97	94	99	98	96	93	99	96
GRC	95	95	76	56	60	65	69	73	77	82	86	90	76	65	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTM	36	29	28	24	33	30	32	34	41	21	62	43	57	69	78	79	76	88	89	93	95	93	96	97	98	96	96	88	99	93	99	91	94	99	93	92	91	93	88	86	86	84	85
GIN	NA	4	7	10	14	18	23	27	31	31	50	60	65	70	75	78	77	76	76	82	81	81	80	80	79	80	81	84	87	91	93	82	77	71	66	72	73	73	73	73	73	73	73
GNB	NA	NA	NA	NA	42	56	69	82	89	95	90	94	99	96	95	92	68	82	78	74	77	79	82	84	87	89	90	92	93	94	93	92	94	93	93	92	91	87	89	84	67	34	80
GUY	68	73	78	76	49	98	76	69	64	76	85	89	88	94	94	93	88	94	92	91	93	95	91	95	94	96	96	97	96	98	98	97	98	98	99	99	95	97	99	99	94	90	99
HTI	NA	60	58	62	71	71	76	72	66	69	72	72	73	73	73	74	72	72	72	71	72	72	73	74	74	75	75	78	78	80	82	83	82	82	81	83	83	83	83	73	73	73	73
HND	25	41	50	55	41	65	72	66	64	80	70	99	92	95	99	97	99	99	96	93	99	99	94	91	98	98	97	99	99	99	99	99	98	97	96	94	93	92	93	87	83	82	77
HUN	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
IND	NA	4	4	6	7	8	9	23	23	28	66	62	65	69	71	81	79	72	73	74	74	75	75	77	80	86	86	87	86	88	89	90	90	91	89	87	89	92	92	92	85	84	91
IDN	61	55	60	58	56	65	66	68	70	72	74	75	76	78	77	77	87	85	84	83	81	80	82	83	85	86	88	83	80	78	88	98	88	90	90	90	90	93	92	90	87	81	93
IRN	7	6	10	10	10	79	56	56	88	85	95	91	99	99	99	96	96	91	99	99	99	91	97	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	98	99	99
IRQ	76	80	83	87	91	94	98	99	98	96	96	96	96	96	97	97	96	95	94	93	93	93	94	94	94	92	89	92	87	92	90	94	99	99	99	94	87	92	95	98	99	94	96
IRL	NA	NA	NA	75	75	80	81	81	82	83	84	84	85	86	86	87	88	89	89	89	89	89	90	90	30	31	31	33	34	30	30	41	42	76	74	77	18	NA	NA	NA	NA	NA	NA
ISR	75	70	68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JAM	38	32	27	56	50	51	73	92	96	99	98	94	85	99	99	98	98	97	85	89	94	96	90	88	90	95	90	87	92	94	95	95	95	93	90	99	96	93	93	97	99	97	97
JPN	NA	85	96	91	85	85	85	85	85	85	85	94	93	91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94	90	94	99	94	95	93	93	84	98	93	99	97	95	98	98
JOR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	67	58	89	95	90	95	95	95	95	96	98	95	98	99	99	94	86	76	76	76
KAZ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90	93	86	90	93	99	99	99	98	95	99	99	65	69	99	99	97	96	96	96	95	95	95	95	95	95	95	87	93	94	93
