"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
1.586987083E0;3.801973462E-1;1.845788002E0;9.453130364E-1
1.597019083E0;2.682500482E-1;1.874578595E0;1.213284135E0
1.607052083E0;3.337488472E-1;1.675413370E0;1.422154784E0
1.617084083E0;5.641479492E-1;1.339881420E0;1.481390715E0
1.627117083E0;8.670182228E-1;8.928568959E-1;1.389273286E0
1.637149083E0;1.128890634E0;4.129401147E-1;1.176972508E0
1.647182083E0;1.291553736E0;8.561334014E-2;8.854215145E-1
1.657214083E0;1.323667407E0;-8.296770975E-4;6.679722667E-1
1.667247083E0;1.316429138E0;-3.116129898E-3;5.699032545E-1
1.677279083E0;1.321187496E0;-2.369730547E-2;5.426074266E-1
1.687311083E0;1.325428724E0;-7.012242079E-2;5.822774768E-1
1.697344083E0;1.327032924E0;-1.471985728E-1;6.736923456E-1
1.707376083E0;1.351725459E0;-2.473102659E-1;7.505045533E-1
1.717409083E0;1.407149553E0;-3.276804984E-1;7.851676941E-1
1.727441083E0;1.474368930E0;-4.050793052E-1;8.129749298E-1
1.737474083E0;1.503970504E0;-4.804430306E-1;8.383412361E-1
1.747506083E0;1.478881717E0;-5.288619995E-1;8.364056945E-1
1.757538083E0;1.381193519E0;-6.846657395E-1;8.377425671E-1
1.767571083E0;1.320875645E0;-9.424460530E-1;8.215830922E-1
1.777603083E0;1.311631918E0;-1.159366965E0;7.449793816E-1
1.787636083E0;1.309399605E0;-1.276750326E0;6.569247842E-1
1.797668083E0;1.252685189E0;-1.336586475E0;6.414390206E-1
1.807701083E0;1.163556218E0;-1.304862499E0;6.925008297E-1
1.817733083E0;1.051608682E0;-1.238677025E0;7.643494606E-1
1.827765083E0;9.246045351E-1;-1.196776390E0;8.182480931E-1
1.837798083E0;8.110603690E-1;-1.200844646E0;8.576506376E-1
1.847830083E0;7.307008505E-1;-1.244813204E0;8.528003693E-1
1.857863083E0;6.978605986E-1;-1.264542699E0;8.131203651E-1
1.867895083E0;6.494894624E-1;-1.181344032E0;7.718496323E-1
1.877928083E0;5.590242743E-1;-1.052097321E0;7.061683536E-1
1.887960083E0;4.151408970E-1;-9.238072038E-1;6.108905077E-1
1.897992083E0;1.962176114E-1;-8.341204524E-1;4.609446526E-1
1.908025083E0;2.537613967E-3;-8.266912699E-1;3.039484024E-1
1.918057083E0;-9.125812352E-2;-8.366571069E-1;1.858696938E-1
1.928090083E0;-1.097559407E-1;-8.037084341E-1;1.032024696E-1
1.938122083E0;-1.190463752E-1;-7.703901529E-1;1.440050304E-1
1.948155083E0;-1.426312178E-1;-7.520081997E-1;3.224421740E-1
1.958187083E0;-1.807793975E-1;-7.785319090E-1;5.106120706E-1
1.968220083E0;-2.079353034E-1;-8.584747314E-1;5.971255302E-1
1.978252083E0;-2.032337636E-1;-8.935855627E-1;5.606615543E-1
1.988284083E0;-2.626558244E-1;-7.848092318E-1;4.906888008E-1
1.998317083E0;-3.528440595E-1;-5.983448029E-1;5.025406480E-1
2.008349083E0;-4.223901629E-1;-4.092057943E-1;6.090518236E-1
2.018382083E0;-4.149226546E-1;-2.367525399E-1;7.178763151E-1
2.028414083E0;-3.235038519E-1;-1.171532199E-1;8.254671097E-1
2.038447083E0;-1.767136157E-1;-7.247949392E-2;9.236029983E-1
2.048479083E0;-4.933888465E-2;-4.637145624E-2;9.678647518E-1
2.058511083E0;1.381505188E-2;-6.127585657E-4;9.112653732E-1
2.068544083E0;1.064946353E-1;9.702184051E-2;6.866920590E-1
2.078576083E0;2.854009867E-1;1.961662769E-1;4.815183878E-1
2.088609083E0;4.262475669E-1;2.703375220E-1;3.660615385E-1
2.098641083E0;4.713255465E-1;3.527410626E-1;2.960140109E-1
2.108674083E0;4.608429968E-1;4.139999449E-1;2.840730548E-1
2.118706083E0;4.268158078E-1;4.612185955E-1;3.111179769E-1
2.128738083E0;3.786619604E-1;5.392010808E-1;3.560009599E-1
2.138771083E0;3.025024831E-1;6.355529428E-1;3.990874290E-1
2.148803083E0;1.887253672E-1;6.710777879E-1;4.386183619E-1
2.158836083E0;9.270375967E-2;5.908449888E-1;4.697323442E-1
2.168868083E0;3.838679940E-2;4.560521841E-1;4.992779791E-1
2.178901083E0;6.539045274E-2;2.979243398E-1;4.838220775E-1
2.188933083E0;1.742513776E-1;1.178472787E-1;4.118680358E-1
2.198966083E0;3.402472734E-1;-6.902486831E-2;2.354519814E-1
2.208998083E0;5.402281284E-1;6.483584642E-2;1.839738786E-1
2.219030083E0;6.376017928E-1;2.346102297E-1;2.414885610E-1
