"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
2.249128083E0;-2.166862638E0;-1.316146848E0;-5.859921652E-1
2.259160750E0;-2.045356328E0;-9.136186749E-1;-6.103104427E-2
2.269193750E0;-1.563452641E0;-7.982098407E-1;1.945039742E-1
2.279225750E0;-1.047246556E0;-2.603560477E-1;-3.168079913E-1
2.289257750E0;-1.466234641E-1;4.847792011E-1;-1.221608042E0
2.299290750E0;6.475797182E-1;9.165183091E-1;-1.725790497E0
2.309322750E0;1.046542405E0;1.183482880E0;-1.991923155E0
2.319355750E0;1.342336088E0;1.261726812E0;-2.060737282E0
2.329387750E0;1.795209665E0;1.367625734E0;-1.941976824E0
2.339420750E0;2.277174747E0;1.804036767E0;-2.141550042E0
2.349452750E0;2.388527368E0;2.113786585E0;-2.191602500E0
2.359484750E0;2.033150850E0;2.089469184E0;-1.970546173E0
2.369517750E0;1.678195185E0;2.022277660E0;-1.220865299E0
2.379549750E0;1.953048965E0;2.344648692E0;-1.274556918E0
2.389582750E0;1.700409927E0;2.910585492E0;-2.171388091E0
2.399614750E0;1.128700463E0;3.429231766E0;-3.030162807E0
2.409647750E0;7.196541063E-1;3.982488295E0;-4.110781761E0
2.419679750E0;5.017418276E-1;3.965204510E0;-4.827492818E0
2.429711750E0;-2.800258181E0;3.020497359E0;-6.375996906E0
2.439744750E0;-1.870305163E0;3.900085824E0;-4.208703912E0
2.449776750E0;5.394060825E-1;4.880245813E0;-4.491845098E0
2.459809750E0;2.846929194E0;4.289609204E0;-4.092371510E0
2.469841750E0;2.060438343E0;2.115981629E0;-3.877945341E0
2.479874750E0;2.814113451E0;1.693298689E0;-3.731895343E0
2.489906750E0;3.444978318E0;1.569376894E0;-3.203449135E0
2.499938750E0;3.357760080E0;6.906754518E-1;-2.744885341E0
2.509971750E0;2.875857124E0;3.759350359E-2;-2.210907521E0
2.520003750E0;2.461689484E0;-5.316545749E-1;-1.772076471E0
2.530036750E0;2.318947548E0;-1.207024355E0;-1.113351960E0
2.540068750E0;2.214309577E0;-1.499550029E0;-1.801234782E-2
2.550101750E0;1.883986332E0;-1.838648191E0;7.901243109E-1
2.560133750E0;1.412697534E0;-2.110488170E0;1.557193635E0
2.570165750E0;9.741089979E-1;-2.381248169E0;2.137796422E0
2.580198750E0;4.181276670E-1;-2.720155712E0;2.127590691E0
2.590230750E0;4.687724483E-1;-2.663654067E0;1.716436706E0
2.600263750E0;1.357233185E0;-2.161798657E0;7.491254620E-1
2.610295750E0;2.182421494E0;-1.216169400E0;-5.612098380E-1
2.620328750E0;2.633667499E0;-4.646226794E-1;-1.695776154E0
2.630360750E0;1.103453794E0;-7.786000335E-1;-2.560300437E0
2.640392750E0;-1.468690764E0;-1.685939384E0;-1.785954253E0
2.650425750E0;-2.484332827E0;-2.384017995E0;-3.392285550E-1
2.660457750E0;-2.006344582E0;-2.514868741E0;1.025203430E0
2.670490750E0;-8.481395075E-1;-2.334038334E0;2.138485808E0
2.680522750E0;5.882445127E-2;-2.495623215E0;2.623738634E0
2.690555750E0;1.207470497E-1;-2.784456958E0;1.944560562E0
2.700587750E0;-2.877084455E-1;-2.920829229E0;9.030334604E-1
2.710620750E0;7.373493889E-1;-3.097567754E0;7.815967315E-1
2.720652750E0;1.089178694E0;-2.442241645E0;8.044488928E-1
2.730684750E0;8.163905883E-1;-1.641498206E0;-3.455412090E-2
2.740717750E0;7.317606202E-1;-1.347311922E0;-4.822251374E-1
2.750749750E0;6.346325210E-1;-9.765399778E-1;-9.967916630E-2
2.760782750E0;6.432077551E-1;-5.332093495E-1;2.102045522E-1
2.770814750E0;5.600182486E-1;3.770436680E-1;3.264564818E-1
2.780847750E0;6.047108567E-1;1.430808992E0;3.803555310E-2
2.790879750E0;4.272952241E-1;2.081764308E0;-7.909511071E-1
2.800911750E0;2.177152276E-1;2.003020440E0;-8.678267902E-1
2.810944750E0;1.232182000E0;8.278370976E-1;-1.505183237E0
2.820976750E0;9.999724022E-1;-6.618165189E-1;1.766062610E0
2.831009750E0;5.345349133E-2;-9.074024999E-1;4.794611585E0
2.841041750E0;-2.892249209E-1;-7.754600787E-1;5.249850068E0
2.851074750E0;-4.117257552E0;-1.974104789E0;6.896282154E0
2.861106750E0;-4.265383897E0;1.814245421E0;5.065372753E0
2.871138750E0;-2.835338259E0;5.137708658E0;1.585756699E0
2.881171750E0;-2.638410760E0;7.335195796E0;-5.802648175E-1
2.891203750E0;-2.165222787E0;8.431477395E0;-6.350052810E-1
2.901236750E0;-2.160739726E0;8.614843739E0;-4.080327781E-1
2.911268750E0;-3.406874937E0;8.298500016E0;-4.063861656E-1
2.921300750E0;-5.060161715E0;7.164193389E0;9.361626148E-2
2.931333750E0;-5.383745459E0;5.954294543E0;-1.317810380E-1
2.941365750E0;-3.593055839E0;5.870119781E0;3.023267039E-1
2.951398750E0;-3.441145468E0;5.519289181E0;7.148946190E-1
2.961430750E0;-2.891417735E0;3.719303364E0;1.942133968E0
2.971463750E0;-1.205002680E0;2.420842005E0;3.885901648E0
2.981495750E0;1.849520212E0;1.431949199E0;2.808631686E0
2.991527750E0;3.707909772E0;1.317556611E0;4.637286401E-1
3.001560750E0;4.744641280E0;8.125805426E-1;-1.240810736E0
3.011592750E0;4.251712522E0;-1.180089741E0;-3.469847696E0
3.021625750E0;1.526691635E0;-2.947636374E0;-3.371734926E0
3.031657750E0;2.471957195E-1;-1.720622143E0;-2.063112860E0
3.041690750E0;1.340181828E-1;1.466078228E-1;-3.399541944E0
3.051722750E0;5.227691460E-1;3.412505221E-1;-1.823409178E0
3.061755750E0;1.295537751E0;-9.475529909E-1;5.302559209E-1
3.071787750E0;1.154943790E0;-2.378587686E0;1.573695647E0
3.081819750E0;1.925020922E0;-2.571663331E0;7.058220792E-1
3.091852750E0;3.330857041E0;-1.999056028E0;-1.417137033E-1
3.101884750E0;4.761562538E0;-2.458530234E0;1.075525061E-1
3.111917750E0;6.788454235E0;-2.991081771E0;9.229514158E-1
3.121949750E0;7.984702172E0;-2.110214521E0;7.437839574E-1
3.131981750E0;6.825925532E0;-1.073268127E-1;1.966927332E-1
3.142014750E0;3.918957712E0;3.242600337E0;-8.051914161E-1
3.152046750E0;3.184293072E0;2.454440106E0;-2.140061048E0
3.162079750E0;4.112257306E0;-8.061871970E-1;-3.522698339E0
3.172111750E0;6.104332343E0;-2.826598426E0;-3.921046922E0
3.182144750E0;4.389888368E0;-4.340088801E0;-2.399372199E0
3.192176750E0;5.849554539E-3;-5.313180091E0;-3.743164536E-1
3.202208750E0;-2.230285925E-1;-4.105854605E0;1.110618679E-1
3.212241750E0;2.746620210E0;-2.504082382E0;1.798622538E0
3.222273750E0;5.845300689E0;-5.798903618E0;2.116205870E0
3.232306750E0;4.368948904E0;-9.815718577E0;2.251411038E0
3.242338750E0;-2.881757550E0;-9.689755518E0;4.808218056E0
3.252371750E0;-1.361696307E1;-9.078267154E0;1.084874734E1
3.262403333E0;-9.523891645E0;-9.543587991E0;1.007893216E1
3.272435333E0;-1.206947756E0;-6.926112310E0;6.638161497E0
3.282468333E0;-3.170313549E-1;-5.546006278E0;3.201708419E0
3.292500333E0;-2.545294143E0;-4.066405195E0;-1.995923820E0
3.302533333E0;-4.295861047E0;-1.751729915E0;-1.151197947E1
3.312565333E0;-5.860029241E0;3.450987502E0;-1.447211368E1
3.322598333E0;-3.385001673E0;4.627497577E0;-7.234356469E0
