"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
1.529037167E0;-5.810859799E-1;-8.996238559E-2;-6.819449663E-1
1.538999167E0;-5.008182526E-1;-1.517951339E-1;-9.558170438E-1
1.548960167E0;-3.409692645E-1;-1.686728299E-1;-1.189367652E0
1.558921917E0;-1.798629463E-1;-1.901288629E-1;-1.290223956E0
1.568883917E0;-8.539086580E-2;-1.432815641E-1;-1.284649014E0
1.578844917E0;-6.192015857E-2;-5.124324933E-2;-1.235730410E0
1.588806917E0;-8.291599154E-2;3.896480799E-2;-1.189993858E0
1.598767917E0;-6.826141477E-2;5.791506171E-2;-1.198969483E0
1.608729917E0;1.663440280E-2;3.126244992E-2;-1.283177495E0
1.618691917E0;1.436951458E-1;7.863475382E-2;-1.462146759E0
1.628652917E0;3.104410172E-1;3.815570772E-1;-1.655224562E0
1.638614917E0;4.736307561E-1;9.914712906E-1;-1.706320763E0
1.648575917E0;4.350813925E-1;1.650754571E0;-1.491426945E0
1.658537917E0;2.327282876E-1;2.115393400E0;-1.018496871E0
1.668499917E0;2.816515043E-2;2.273607016E0;-4.160580635E-1
1.678460917E0;-2.515797969E-3;1.967792511E0;1.942199320E-1
1.688422917E0;1.613669991E-1;1.277817965E0;6.414253712E-1
1.698383917E0;4.945835471E-1;3.571544290E-1;8.615074158E-1
1.708345917E0;9.333909154E-1;-7.365627885E-1;8.768028617E-1
1.718307917E0;1.409343362E0;-1.794636846E0;7.366313934E-1
1.728268917E0;1.759315848E0;-2.645706415E0;5.033934116E-1
1.738230917E0;1.889144301E0;-3.155625820E0;2.997398973E-1
1.748191917E0;1.762900949E0;-3.310880899E0;1.311646700E-1
1.758153917E0;1.375586271E0;-3.152756691E0;3.102535848E-4
1.768115917E0;7.953986526E-1;-2.809354305E0;-1.014372855E-1
1.778076917E0;1.705223024E-1;-2.430428743E0;-2.131361216E-1
1.788038917E0;-3.391637504E-1;-2.094123363E0;-3.554207981E-1
1.797999917E0;-6.688532233E-1;-2.122714281E0;-5.196123719E-1
1.807961917E0;-6.903408170E-1;-2.125765085E0;-8.809471726E-1
1.817922917E0;-4.503106177E-1;-2.132174730E0;-1.221425891E0
1.827884917E0;-1.242777854E-1;-2.229156017E0;-1.489978671E0
1.837846917E0;1.822917461E-1;-2.170142651E0;-1.838421345E0
1.847807917E0;3.832480311E-1;-2.001037121E0;-2.248195171E0
1.857769917E0;4.431616962E-1;-1.844486594E0;-2.640122890E0
1.867730917E0;4.984358549E-1;-1.738460183E0;-3.004609823E0
1.877692917E0;6.449030638E-1;-1.724519849E0;-3.361600876E0
1.887654917E0;8.931117654E-1;-1.794726968E0;-3.641398668E0
1.897615917E0;1.209813237E0;-1.974072218E0;-3.757514238E0
1.907577917E0;1.342151761E0;-2.165139198E0;-3.677685261E0
1.917538917E0;1.086408138E0;-2.299416780E0;-3.453050137E0
1.927500917E0;5.547053814E-1;-2.356532812E0;-3.242197514E0
1.937462917E0;-3.074789047E-1;-2.254304171E0;-2.794683456E0
1.947423917E0;-1.023292780E0;-2.301327467E0;-2.389604092E0
1.957385917E0;-1.350937724E0;-2.511055231E0;-2.313307762E0
1.967346917E0;-1.214768529E0;-2.787762403E0;-2.598497629E0
1.977308917E0;-6.666851044E-1;-3.057007074E0;-2.999902010E0
1.987270917E0;3.990598023E-2;-3.187899590E0;-3.469777822E0
1.997231917E0;6.870756745E-1;-3.103356361E0;-3.905072927E0
2.007193917E0;1.120232940E0;-2.819117785E0;-4.076917648E0
2.017154917E0;1.305153489E0;-2.477449179E0;-3.972423077E0
2.027116917E0;1.294069767E0;-2.195431471E0;-3.679344654E0
2.037077917E0;1.252704501E0;-2.006885767E0;-3.271809816E0
2.047039917E0;1.271779060E0;-2.084154129E0;-2.635067463E0
2.057001917E0;1.425435185E0;-2.384810686E0;-2.000708342E0
2.066962917E0;1.775334954E0;-2.735540390E0;-1.677252889E0
2.076924917E0;2.234971523E0;-2.950156689E0;-1.468297005E0
2.086885917E0;2.562426567E0;-2.866374969E0;-1.326644063E0
2.096847917E0;2.572251558E0;-2.398322821E0;-1.231211543E0
2.106809917E0;2.310449362E0;-1.794948459E0;-1.132563949E0
2.116770917E0;1.780721426E0;-8.403266668E-1;-9.129250050E-1
2.126732917E0;9.891490340E-1;-2.178166807E-2;-4.462797344E-1
2.136693917E0;3.759274185E-1;3.951135576E-1;-5.996720120E-2
2.146655917E0;1.430844516E-1;6.982905865E-1;1.080479324E-1
2.156617917E0;2.350910604E-1;6.415796280E-1;2.297706306E-1
2.166578917E0;4.897700548E-1;2.177210748E-1;1.765309870E-1
2.176540917E0;7.110729218E-1;-2.389900237E-1;7.968880236E-3
2.186501917E0;6.647657156E-1;-4.100955427E-1;-1.160333306E-1
2.196463917E0;3.568931222E-1;-5.985836983E-1;-6.669934094E-2
2.206424917E0;-3.236079961E-2;-4.173249304E-1;3.252112493E-2
2.216386917E0;-1.793787330E-1;-1.981405541E-2;-5.237006396E-2
2.226348917E0;-2.148399502E-1;1.459555328E-2;1.263898313E-1
2.236309917E0;-3.295199275E-1;1.277527362E-1;6.066212058E-1
2.246271917E0;-5.123059154E-1;2.895396352E-1;9.273526073E-1
2.256232917E0;-7.553026080E-1;3.923096657E-1;9.973900318E-1
2.266194917E0;-8.853174448E-1;4.446448982E-1;9.535163045E-1
2.276156917E0;-7.010306716E-1;4.981424510E-1;8.336488008E-1
2.286117917E0;-3.944085836E-1;4.088579714E-1;5.522766113E-1
2.296079917E0;-1.877606064E-1;2.635274231E-1;2.610969543E-1
