"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
2.467916917E0;5.463189240E0;-4.005370789E0;2.468367004E0
2.477878917E0;6.183341675E0;-3.687431946E0;-6.469546509E-1
2.487840917E0;7.342082062E0;-3.771706696E0;-3.719914398E0
2.497801917E0;7.586823120E0;-4.729415131E0;-2.745291138E0
2.507763917E0;7.147337036E0;-6.177952881E0;3.704795837E-1
2.517724917E0;6.674620056E0;-6.893015900E0;1.828447723E0
2.527686917E0;6.725065155E0;-6.755002899E0;9.731263733E-1
2.537648917E0;7.199279022E0;-6.002368011E0;-5.433700562E-1
2.547609917E0;7.065606995E0;-5.002896423E0;-9.675878906E-1
2.557572292E0;6.807693329E0;-4.436923370E0;-1.215622101E0
2.567533292E0;6.801855469E0;-4.496649170E0;-1.726659393E0
2.577495292E0;7.034471741E0;-4.715643768E0;-1.744172974E0
2.587456292E0;7.694449310E0;-4.687651978E0;-1.379082184E0
2.597418292E0;7.891589355E0;-4.640350342E0;-1.522184601E0
2.607380292E0;7.163353729E0;-4.712051239E0;-1.226998444E0
2.617341292E0;7.277117157E0;-3.946692810E0;-9.047186279E-1
2.627303292E0;8.489296417E0;-2.870131531E0;-1.213376770E0
2.637264292E0;9.276060333E0;-3.368894348E0;-2.034269714E0
2.647226292E0;9.018146667E0;-4.400399323E0;-1.566342773E0
2.657188292E0;8.795409851E0;-4.135450287E0;-1.362616425E0
2.667149292E0;8.363108826E0;-3.444187775E0;-1.478924561E0
2.677111292E0;7.583829346E0;-3.299139404E0;-1.669328613E0
2.687072292E0;7.000043335E0;-3.515888672E0;-1.623074799E0
2.697034292E0;6.588998108E0;-4.259093170E0;-1.425785065E0
2.706995292E0;6.536157990E0;-5.126239929E0;-1.182241516E0
2.716957292E0;6.699318695E0;-5.952371979E0;-1.375040588E0
2.726919292E0;7.329358521E0;-6.720275116E0;-2.125280457E0
2.736880292E0;7.974666595E0;-7.420069885E0;-1.701511688E0
2.746842292E0;8.113278351E0;-7.884853363E0;-4.561015320E-1
2.756803292E0;8.187074890E0;-7.757617950E0;1.538800049E-1
2.766765292E0;8.778045959E0;-7.354955292E0;5.673202515E-1
2.776727292E0;9.411079559E0;-6.981931000E0;1.698966980E-1
2.786688292E0;9.917177124E0;-6.840475159E0;-4.170327759E-1
2.796650292E0;1.017793488E1;-6.694079590E0;-9.496252441E-1
2.806611292E0;1.020832169E1;-6.324947205E0;-1.113684082E0
2.816573292E0;9.643097076E0;-6.634802856E0;-1.340163116E0
2.826534292E0;9.003626862E0;-7.366032257E0;-1.712289276E0
2.836496292E0;8.342601471E0;-8.457113342E0;-1.936223602E0
2.846458292E0;8.010292511E0;-9.063202972E0;-1.899100800E0
2.856419292E0;8.087232513E0;-9.747879181E0;-1.493743744E0
2.866381292E0;8.580756226E0;-1.068627777E1;-1.522334290E0
2.876342292E0;9.288634186E0;-1.077160034E1;-1.575623474E0
2.886304292E0;9.990674286E0;-1.027538223E1;-1.046473846E0
2.896266292E0;1.037567368E1;-9.733658752E0;-5.146298218E-1
2.906227292E0;1.028047165E1;-9.175170135E0;-7.990383911E-1
2.916189292E0;9.602082367E0;-8.816515961E0;-9.801617432E-1
2.926150292E0;8.623866577E0;-8.622818756E0;-8.916957092E-1
2.936112292E0;7.119345245E0;-8.624315643E0;-5.219645691E-1
2.946073292E0;5.537434845E0;-8.653205566E0;-1.058299255E-1
2.956035292E0;4.490960999E0;-8.383915558E0;-3.517684937E-1
2.965997292E0;3.725452881E0;-8.139174500E0;-1.153650970E0
2.975958292E0;3.238216095E0;-8.105494537E0;-1.053658905E0
2.985920292E0;2.997965698E0;-8.009993134E0;-7.176077271E-1
2.995881292E0;2.683170319E0;-8.142317963E0;-2.935395813E-1
3.005843292E0;2.251168671E0;-8.500672760E0;-5.764512634E-1
3.015805292E0;2.142644348E0;-7.988437958E0;-1.338067474E0
3.025766292E0;2.107168121E0;-7.250622253E0;-9.413923645E-1
3.035728292E0;1.799857178E0;-6.650370483E0;-6.023474121E-1
3.045689292E0;1.238524475E0;-5.909261627E0;-1.393751678E0
3.055651292E0;6.581813049E-1;-4.971012726E0;-3.020269318E0
3.065612292E0;1.103804626E0;-4.690196686E0;-3.300486603E0
3.075574292E0;5.897735596E-1;-4.396806793E0;-3.903432770E0
3.085536292E0;4.426295471E-1;-4.012256470E0;-2.873274994E0
3.095497292E0;1.122066650E0;-4.067790985E0;-2.197879486E0
3.105459292E0;2.543660431E0;-4.299808502E0;-2.868035889E0
3.115420292E0;3.919898529E0;-4.576582947E0;-3.418591003E0
3.125382292E0;3.545077972E0;-5.313350830E0;-3.751199341E0
3.135344292E0;3.026855621E0;-7.313790894E0;-2.258353729E0
3.145305292E0;2.590513000E0;-7.969427490E0;-1.018332367E0
3.155267292E0;1.279239807E0;-8.847800903E0;-1.894759827E0
3.165228292E0;-2.832110596E0;-1.709370346E1;2.758763123E-1
3.175190292E0;-1.021894958E1;-3.539299988E1;-1.827100525E0
3.185151292E0;-6.369255066E0;-3.509047897E1;-3.597019958E-1
3.195113292E0;5.965694275E0;-1.793375656E1;-2.878514099E-1
3.205075292E0;2.835104370E0;-9.342372437E0;3.692820740E-1
3.215036292E0;-4.240232391E0;-6.414461060E0;3.763174438E-1
3.224998292E0;-7.062762909E0;-5.989794159E0;-1.268312531E0
3.234959292E0;-5.842799835E0;-6.195616150E0;2.677931213E-1
3.244921292E0;-3.254382477E0;-5.902675323E0;5.869294739E-1
3.254882292E0;-3.107986908E0;-6.245761871E0;-3.129991150E-1
3.264844292E0;-3.285368042E0;-6.036347351E0;-9.855505371E-1
3.274806292E0;-3.442092133E0;-5.847140808E0;-1.146914978E0
3.284767292E0;-3.812122650E0;-6.062393188E0;-1.071920929E0
3.294729292E0;-3.660038910E0;-5.865103455E0;-1.031654663E0
3.304690292E0;-3.419938202E0;-5.846542053E0;-1.094823303E0
3.314652292E0;-3.128494263E0;-5.869294739E0;-1.231339417E0
3.324614292E0;-2.927612000E0;-5.766308899E0;-1.151106262E0
3.334575292E0;-2.871778107E0;-5.922883301E0;-1.309027863E0
3.344537292E0;-2.835553436E0;-6.286776581E0;-1.387464752E0
3.354498292E0;-2.948718109E0;-7.181765442E0;-1.674268341E0
3.364460292E0;-2.822380829E0;-8.139174500E0;-2.363135834E0
3.374421292E0;-2.397414551E0;-9.109606476E0;-3.386108551E0
3.384383292E0;-1.776954803E0;-1.021625519E1;-4.486320648E0
3.394345292E0;-1.200503540E0;-1.146885040E1;-5.895340576E0
3.404306292E0;-5.969586182E-1;-1.259361145E1;-7.626191254E0
3.414268292E0;-1.586700439E-2;-1.378648087E1;-1.018287460E1
3.424229292E0;1.044527893E0;-1.462533646E1;-1.228210922E1
3.434191292E0;2.408192139E0;-1.474329117E1;-1.172736282E1
3.444152292E0;2.879861298E0;-1.433284470E1;-9.027127991E0
3.454114292E0;1.834884338E0;-1.350716171E1;-5.276677094E0
3.464076292E0;5.096900940E-1;-1.208856171E1;-2.921175385E0
3.474037292E0;-4.239184570E-1;-1.058748322E1;-2.418520660E0
3.483999292E0;-6.706054688E-1;-9.007369080E0;-3.245101776E0
3.493960292E0;-7.450007629E-1;-8.202343140E0;-3.874692535E0
3.503922292E0;-1.665736084E0;-9.710756378E0;-3.147804108E0
3.513884292E0;-3.157533875E0;-1.307231598E1;-1.698966980E0
3.523845292E0;-4.455634460E0;-1.608540024E1;-9.181906128E-1
3.533807292E0;-6.114035797E0;-1.852353012E1;8.304730225E-1
3.543768292E0;-7.514224091E0;-1.941223206E1;2.035766602E0
3.553730542E0;-7.859705658E0;-1.785412216E1;1.297052765E0
3.563691542E0;-5.141508179E0;-1.214050369E1;4.174818420E-1
3.573653542E0;-2.898123322E0;-6.456224213E0;5.075944519E-1
3.583615542E0;-2.342179413E0;-3.510799255E0;6.837780762E-1
3.593576542E0;-1.854942627E0;-1.667083282E0;1.137185211E0
3.603538542E0;-1.168470154E0;-3.135978699E-1;2.036365356E0
3.613499542E0;-1.157393188E0;-6.047424316E-2;3.167712708E0
3.623461542E0;-2.046843567E0;-7.881111145E-1;3.088826752E0
3.633422542E0;-3.106040955E0;-2.262395325E0;1.954485626E0
3.643384542E0;-3.838018799E0;-4.546046448E0;1.201401672E0
3.653346542E0;-4.457580414E0;-7.075187073E0;1.135538635E0
3.663307542E0;-5.071603546E0;-9.498048706E0;1.650318146E0
3.673269542E0;-5.208419037E0;-1.200817886E1;2.334096222E0
3.683230542E0;-5.110522614E0;-1.413121399E1;2.738704834E0
3.693192542E0;-4.734654236E0;-1.548185532E1;2.657872925E0
3.703154542E0;-3.331921234E0;-1.535372177E1;2.880160675E0
3.713115542E0;-8.955876160E-1;-1.330777634E1;3.278332672E0
3.723077542E0;1.052311707E0;-1.043300446E1;2.902314606E0
3.733038542E0;1.399290161E0;-8.394992523E0;1.217568054E0
3.743000542E0;1.017134857E0;-6.943610687E0;-2.064207458E-1
3.752961542E0;4.020639038E-1;-6.720724182E0;5.538482666E-3
3.762923542E0;-5.140310669E-1;-6.933880920E0;1.449735260E0
3.772885542E0;-2.156116333E0;-7.251520386E0;2.237846375E0
3.782846542E0;-3.909719696E0;-7.708370361E0;2.271077271E0
3.792808542E0;-4.771627350E0;-8.178842010E0;1.892364807E0
3.802769542E0;-4.992268524E0;-8.947194214E0;7.451504517E-1
3.812731542E0;-4.767136688E0;-9.807155914E0;-5.780978394E-1
3.822692542E0;-3.994892578E0;-1.052521271E1;-1.823208618E0
3.832654542E0;-3.017874298E0;-1.086874832E1;-2.835104370E0
3.842616542E0;-2.084415436E0;-1.093446167E1;-3.294948120E0
3.852577542E0;-1.604962463E0;-1.107771378E1;-2.456092529E0
3.862539542E0;-1.102906494E0;-1.038555313E1;-1.236129456E0
3.872500542E0;-5.674699402E-1;-9.277856598E0;4.565505981E-2
3.882462542E0;-7.930508423E-1;-8.921148376E0;1.779948578E0
3.892423542E0;-9.033714294E-1;-8.768465881E0;2.890638885E0
3.902385542E0;-8.322692871E-1;-8.502319336E0;2.751727753E0
3.912347542E0;-9.503736877E-1;-8.434959412E0;2.246528320E0
3.922308542E0;-1.330732727E0;-8.716673584E0;1.646126862E0
3.932270542E0;-1.855840759E0;-9.150920563E0;1.207538910E0
3.942231542E0;-2.267185364E0;-9.518556061E0;1.035845947E0
3.952193542E0;-2.563569031E0;-9.917177124E0;9.771679688E-1
3.962155542E0;-2.619103546E0;-1.035576508E1;9.136999512E-1
3.972116542E0;-2.394271088E0;-1.062774948E1;6.682104492E-1
3.982078542E0;-2.092798004E0;-1.088147186E1;2.921923828E-1
3.992039542E0;-1.573228455E0;-1.071277267E1;-5.584886169E-1
4.002001542E0;-1.422491913E0;-1.078387482E1;-7.978408813E-1
4.011962542E0;-1.625170441E0;-1.113324829E1;-5.673202515E-1
4.021924542E0;-1.678609314E0;-1.114507370E1;-1.104852448E0
4.031886542E0;-1.499282227E0;-1.107142685E1;-1.176852722E0
4.041847542E0;-1.232985992E0;-1.083446960E1;-7.378157043E-1
