"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
2.312387306E0;2.246232986E0;-2.943166733E0;2.539099216E0
2.330110878E0;3.504953980E-1;3.474705696E0;2.032229185E0
2.347834816E0;-1.196440458E-1;2.712128162E0;3.678060770E-1
2.365561561E0;-8.379337788E-1;-2.095502853E0;6.819037199E-1
2.383283119E0;-1.886716008E0;-2.197218895E0;5.938042402E-1
2.401003578E0;-2.746612072E0;7.308006287E-1;-1.369540691E-1
2.418730446E0;-2.698275089E0;2.608087540E0;9.900117517E-1
2.436443520E0;-2.135899782E0;-2.970142365E-1;2.672890186E0
2.454181130E0;-7.378463745E-1;-1.754252434E0;4.096475601E0
2.471902382E0;-3.472561836E-1;-1.154112816E0;3.733035088E0
2.489624550E0;-7.623345852E-1;-9.390268326E-1;2.560353518E0
2.507350014E0;-7.134141922E-1;-9.253129959E-1;1.808128715E0
2.525063514E0;-9.113914967E-1;-8.149480820E-1;-1.694277227E-1
2.542797829E0;-1.695144415E0;-1.402119637E0;-2.399786234E0
2.560522072E0;-1.559202433E0;-1.073478699E0;-2.945791960E0
2.578244301E0;-7.331848145E-2;-7.345771790E-1;-1.149267435E0
2.595969521E0;4.782921076E-1;-1.526389122E0;6.030808687E-1
2.613681496E0;6.175278425E-1;-1.406878471E0;4.313185215E-1
2.631419472E0;5.024372339E-1;-7.685937881E-1;-1.476552963E0
2.649141213E0;2.286949158E-1;-2.826442719E-1;-1.032508373E0
2.666865089E0;1.800141335E-1;5.051898956E-1;-1.535723925E0
2.684588905E0;5.095460415E-1;1.567140579E0;-2.099791288E0
2.702312782E0;3.140643835E-1;2.164953709E0;-1.955958843E0
2.720036720E0;-7.776939869E-2;2.707759380E0;-1.647918463E0
2.737760475E0;-3.216782808E-1;3.097696304E0;-1.322701216E0
2.755487464E0;-5.984672308E-1;3.324174881E0;-8.754812479E-1
2.773208290E0;-4.094163179E-1;3.618315697E0;-5.940687656E-1
2.790929298E0;2.022272348E-1;3.250005245E0;1.050889492E-1
2.808659156E0;8.436737061E-1;2.420065880E0;1.287078619E0
2.826383094E0;1.079774618E0;1.346080780E0;2.614606380E0
2.844103859E0;1.548522830E0;3.944330215E-1;4.879160881E0
2.861827980E0;2.259880304E0;-1.031622887E0;6.467810154E0
2.879548927E0;3.263611794E0;-2.619029045E0;6.837313652E0
2.897275734E0;3.010695934E0;-3.423209190E0;6.071470737E0
2.914998390E0;8.702623844E-1;-2.280841827E0;3.767078161E0
2.932725441E0;-2.091811180E0;-2.839647293E0;1.267530799E0
2.950447365E0;-3.072805405E0;-3.131431580E0;-7.790043354E-1
2.968169471E0;-3.188906193E0;-1.530250549E0;-4.257927418E0
2.985895302E0;-2.283710957E0;2.110955238E0;-6.093965530E0
3.003605324E0;-2.032488823E0;3.690220356E0;-4.238118172E0
3.021346107E0;-2.836713791E0;2.977737427E0;-2.492945433E0
3.039066933E0;-2.912500858E0;1.752400875E0;-1.889002800E0
3.056788002E0;-1.487419605E0;9.146289825E-1;-2.010343313E0
3.074514443E0;2.118813992E-1;-3.681869507E-1;-2.523378372E0
3.092238136E0;2.455210209E0;-1.967288971E0;-2.420509338E0
3.109962502E0;4.077609539E0;-2.068547249E0;-1.514420271E0
3.127686379E0;3.556780338E0;-6.635932922E-1;4.901975393E-2
3.145410133E0;1.908200979E0;3.239641190E-1;-5.293265581E-1
3.163134071E0;6.704447269E-1;6.631031036E-1;-8.758584261E-1
3.180857704E0;6.605368257E-1;6.711797714E-1;-9.922904968E-1
3.198581642E0;7.198567390E-1;2.704296112E-1;-1.209906340E0
3.216290931E0;6.297795177E-1;-7.289600372E-2;2.294194549E-1
3.234018654E0;1.245639563E0;-3.382997513E-1;1.908176184E0
3.251742103E0;1.302702188E0;-1.164093018E-1;1.865243435E0
3.269477272E0;1.410553455E-1;4.992017746E-1;1.130987763E0
3.287201271E0;-9.171048999E-1;6.503744125E-1;9.901980162E-1
3.304925087E0;-4.137555361E-1;7.182445526E-1;-1.230801940E-1
3.322649025E0;4.616944790E-1;6.288900375E-1;-6.959002018E-1
3.340372597E0;1.217831254E0;4.293594360E-1;-8.901830912E-1
3.358096718E0;1.313968420E0;1.853771210E-1;-9.307265282E-4
3.375820595E0;9.242643714E-1;-1.758184433E-1;8.856960535E-1
3.393544472E0;1.042904139E0;-4.268608093E-1;1.430418730E0
3.411271034E0;2.132131100E0;-2.736063004E-1;1.794983625E0
3.428992226E0;3.570410252E0;-6.281890869E-1;2.427284241E0
3.446715859E0;4.462917328E0;-9.365348816E-1;2.698619366E0
3.464440041E0;4.746531487E0;-9.674263000E-1;1.950983167E0
3.482162148E0;4.132695198E0;-1.307384491E0;1.070564151E0
3.499890541E0;2.499365568E0;-1.911630630E0;1.748343468E0
3.517600258E0;6.712393761E-1;-2.691020966E0;3.800230980E0
3.535332435E0;-3.893259764E-1;-3.336241722E0;5.462391376E0
3.553059425E0;1.116529703E-1;-3.393123627E0;5.408303738E0
3.570766762E0;1.505916119E-1;-3.027279854E0;4.443821907E0
3.588507972E0;-1.209360361E-1;-2.955674171E0;5.520282745E0
3.606231056E0;-5.999635458E-1;-3.198473930E0;4.927880287E0
3.623955116E0;-2.447685719E0;-2.694932938E0;-1.896994263E-1
3.641678749E0;-3.897330999E0;-2.141135216E0;-3.728493690E0
3.659405433E0;-3.805416822E0;-9.143705368E-1;-6.017584324E0
3.677129554E0;-3.877029896E0;9.877872467E-2;-4.460130692E0
3.694850441E0;-3.659181595E0;-9.887886047E-2;-7.927494049E-1
3.712574135E0;-2.370307446E0;-7.722043991E-1;3.035327196E-1
3.730298195E0;-1.633583903E0;-8.842887878E-1;-1.281774282E0
3.748021767E0;-7.309473753E-1;-2.952384949E-2;-3.152523518E0
3.765746559E0;-5.884974003E-1;1.005287170E0;-3.015039921E0
3.783470009E0;-7.039165497E-2;1.760506630E0;-1.918459654E0
3.801191445E0;1.523609161E-1;2.085566521E0;-2.034737587E0
3.818917763E0;1.471161842E-1;2.132238865E0;-2.250018120E0
3.836630470E0;-2.177965641E-2;2.222743511E0;-1.994511127E0
3.854364052E0;-5.050517321E-1;2.094765663E0;-1.664999008E0
3.872089150E0;-6.857596636E-1;2.477446079E0;-2.006130934E0
3.889813027E0;-8.567899466E-1;2.887995243E0;-2.353399754E0
3.907536781E0;-1.213002086E0;3.214316368E0;-2.406699181E0
3.925260536E0;-1.399570584E0;3.473440647E0;-2.386397839E0
3.942984474E0;-9.742088318E-1;3.326281071E0;-1.701868653E0
3.960708534E0;-3.871059418E-2;2.748249531E0;-7.214548588E-1
3.978432167E0;6.367794275E-1;1.580211639E0;1.210777044E0
3.996156044E0;1.080006719E0;3.950977325E-2;3.615779400E0
4.013877479E0;9.911199808E-1;-1.716788292E0;6.208241463E0
4.031604164E0;1.171816349E0;-2.852246284E0;8.064392090E0
4.049327675E0;1.892007589E0;-4.190668106E0;8.223446846E0
4.067056007E0;1.528662324E0;-4.003481865E0;5.981261253E0
4.084775185E0;1.390246153E-1;-1.827612877E0;2.535343885E0
