time,seconds_elapsed,z,y,x
1713800525207812400,104.28581225585937,5.061927318572998,4.35826301574707,-4.376159191131592
1713800525225534000,104.30353393554688,3.5963406562805176,2.7511043548583984,-3.8211324214935303
1713800525243254500,104.32125463867187,2.1033196449279785,-1.1969900131225586,-1.3855998516082764
1713800525260973800,104.33897387695312,0.5048640966415405,-3.46706485748291,0.849719762802124
1713800525278695200,104.35669506835937,1.787131905555725,-4.547027111053467,1.5493799448013306
1713800525296420900,104.3744208984375,1.637204647064209,-3.4088878631591797,1.667638897895813
1713800525314142700,104.39214282226563,0.341447114944458,-1.8726229667663574,1.5569825172424316
1713800525331859700,104.40985961914062,-1.238621473312378,-1.6838455200195312,0.8791372776031494
1713800525349585400,104.42758544921875,-1.0665640830993652,-1.6460208892822266,0.39632436633110046
1713800525367309000,104.44530908203124,-1.6929652690887451,-1.3685665130615234,0.21735970675945282
1713800525385030000,104.46302978515625,-0.7070237398147583,-2.217034339904785,-0.6388900279998779
1713800525402751700,104.48075170898437,0.5116041898727417,-2.795701026916504,-1.538374423980713
1713800525420473900,104.49847387695313,0.8178689479827881,-1.794182300567627,-1.6614859104156494
1713800525438195000,104.51619482421874,-2.0138256549835205,-0.20606613159179688,-0.7591691017150879
1713800525455917000,104.5339169921875,-4.697759628295898,-0.6648931503295898,-0.7814185619354248
1713800525473639200,104.55163916015626,-4.353082180023193,-0.26140499114990234,-1.3744819164276123
1713800525491360800,104.56936083984375,-3.6839897632598877,1.659637451171875,-1.69023597240448
1713800525509083000,104.58708276367187,-2.51344633102417,3.1706600189208984,-2.569430351257324
1713800525526804000,104.60480395507813,-2.6951394081115723,3.3939638137817383,-2.946927547454834
1713800525544524800,104.62252490234376,-4.705615520477295,2.895061492919922,-2.5145344734191895
1713800525562247700,104.64024755859376,-4.93067741394043,3.13641357421875,-2.717287540435791
1713800525579970300,104.65797021484374,-0.2523624897003174,6.233541488647461,-3.9555211067199707
1713800525597687000,104.67568701171875,1.1305824518203735,7.21658992767334,-4.819062232971191
1713800525615413000,104.6934130859375,2.403059959411621,4.003061294555664,-3.4855480194091797
1713800525633135000,104.71113500976563,2.535512924194336,2.257793426513672,1.2816450595855713
1713800525650856000,104.72885595703124,3.225613594055176,3.66762638092041,4.095030307769775
1713800525668578000,104.746578125,0.9404045343399048,6.534704208374023,3.3590269088745117
1713800525686300000,104.7642998046875,-2.493372917175293,7.332139015197754,2.2777369022369385
1713800525704022000,104.78202197265625,-2.0993824005126953,5.695705413818359,2.8985490798950195
1713800525721743400,104.79974340820313,0.9795961976051331,3.823373794555664,3.891054391860962
1713800525739465000,104.81746484375,2.72233247756958,1.7678842544555664,4.037468910217285
1713800525757187000,104.83518701171874,3.9608654975891113,0.11821556091308594,2.9255590438842773
1713800525774909200,104.8529091796875,4.66120719909668,-0.9493837356567383,2.0408995151519775
1713800525792630300,104.87063037109375,3.977865695953369,-2.597607135772705,1.0747288465499878
1713800525810352400,104.88835229492187,3.642674684524536,-4.169665336608887,0.45658427476882935
1713800525828074000,104.90607397460937,3.803377628326416,-5.4811201095581055,0.3201630115509033
1713800525845795800,104.9237958984375,4.108447551727295,-6.56581974029541,0.3253301978111267
1713800525863517400,104.94151733398438,4.2428812980651855,-6.738748550415039,0.905280590057373
1713800525881238000,104.95923803710937,4.778438568115234,-6.4400835037231445,1.5508623123168945
1713800525898958000,104.9769580078125,4.455352783203125,-6.449914455413818,1.610912799835205
1713800525916674600,104.99467456054687,3.353297710418701,-6.742595672607422,1.4904487133026123
1713800525934400300,105.01240014648438,1.8032071590423584,-6.636715888977051,0.7757319808006287
1713800525952125400,105.03012548828124,-1.560220718383789,-4.38707160949707,0.6818304061889648
1713800525969848300,105.04784838867188,-5.109890937805176,-0.42252635955810547,0.07490689307451248
1713800525987570200,105.06557006835938,-6.728664398193359,5.107187271118164,-1.1065974235534668
1713800526005291800,105.08329174804688,-5.336510181427002,9.212295532226562,-0.5192270278930664
1713800526023012400,105.10101245117187,-4.803349494934082,7.132025718688965,0.19560903310775757
1713800526040736500,105.11873657226562,-6.383528232574463,1.8270673751831055,-1.278809905052185
1713800526058457000,105.13645703125,-5.642663478851318,-2.5711584091186523,-1.8283536434173584
1713800526076178700,105.1541787109375,-5.626253604888916,-2.7872371673583984,-1.5588264465332031
1713800526093900500,105.17190063476562,-3.550231456756592,2.652524948120117,-0.560087263584137
