time,seconds_elapsed,steps
1713800502109711600,81.18771166992188,147
1713800503268278300,82.3462783203125,149
1713800504260698000,83.33869799804687,151
1713800505306289000,84.38428881835938,153
1713800506210101800,85.28810180664063,155
1713800507326574000,86.40457397460938,157
1713800508321213000,87.399212890625,159
1713800509320276000,88.39827587890625,161
1713800510224086800,89.30208666992188,163
1713800511269667000,90.3476669921875,165
1713800512403863800,91.48186376953124,167
1713800513343115300,92.421115234375,169
1713800514459585300,93.53758520507813,171
1713800515505166800,94.58316674804688,173
1713800516550751700,95.62875170898438,175
1713800517560889900,96.63888989257812,177
1713800518606472400,97.68447241210937,179
1713800519616610600,98.69461059570312,181
1713800520626750000,99.70475,183
1713800521654608400,100.7326083984375,185
1713800522649240300,101.727240234375,187
1713800523559687200,102.63768725585938,189
1713800524711603500,103.789603515625,191
1713800525633135000,104.71113500976563,193
1713800526749606000,105.82760595703125,195
1713800527795189200,106.87318920898437,197
1713800528823050000,107.90105004882813,199
1713800529744582100,108.82258203125,201
1713800530861047000,109.93904711914062,203
1713800531906627000,110.984626953125,205
1713800532792717300,111.87071728515625,207
1713800533944619800,113.02261987304688,209
1713800534937035000,114.01503491210937,211
1713800535940521500,115.018521484375,213
1713800536850977500,115.9289775390625,215
1713800537985158000,117.06315795898438,217
1713800539030736400,118.108736328125,219
1713800540040874800,119.11887475585938,221
1713800541015565800,120.09356591796875,223
1713800542007974100,121.08597412109376,225
1713800543142163500,122.22016357421874,227
1713800544170016800,123.24801684570312,229
1713800545215592200,124.29359228515625,231
1713800546225718800,125.30371875,233
1713800547129526500,126.20752661132812,235
1713800548245991400,127.32399145507813,237
1713800549291566600,128.36956665039062,239
1713800550301695500,129.37969555664063,241
1713800551329553700,130.4075537109375,243
1713800552357407500,131.43540747070313,245
1713800553367539000,132.4455390625,247
1713800554289057500,133.3670576171875,249
1713800555423244500,134.50124462890625,251
1713800556344757800,135.4227578125,253
1713800557496662800,136.57466284179688,255
1713800558489077500,137.5670773925781,257
1713800559516926500,138.59492651367188,259
1713800560527070500,139.6050705566406,261
1713800561448594400,140.52659448242187,263
1713800562582777300,141.66077734375,265
1713800563468854500,142.5468544921875,267
1713800564603042600,143.68104248046876,269
1713800565509062700,144.58706274414064,271
1713800566649896000,145.72789599609376,273
1713800567535984000,146.61398413085936,275
1713800568670178600,147.74817846679687,277
1713800569680324900,148.7583249511719,279
1713800570743640300,149.82164038085938,281
1713800571753792500,150.83179248046875,283
1713800572799387100,151.87738720703126,285
1713800573703208400,152.78120849609374,287
1713800574855138300,153.93313818359374,289
1713800575876363000,154.95436303710937,291
1713800576928603100,156.00660302734374,293
1713800577921032700,156.99903271484374,295
1713800578984351000,158.06235107421875,297
1713800579976782300,159.0547822265625,299
1713800581022381600,160.10038159179686,301
1713800582032535000,161.11053515625,303
1713800583060411400,162.13841137695312,305
1713800584088289500,163.16628955078124,307
1713800585129462800,164.207462890625,309
1713800586179499800,165.25749975585939,311
1713800587189657900,166.2676579589844,313
1713800588217548800,167.295548828125,315
1713800589245437700,168.32343774414062,317
1713800590266675500,169.34467553710937,319
1713800591301211000,170.3792109375,321
1713800592198395000,171.27639477539063,323
1713800593356978400,172.434978515625,325
1713800594420301600,173.49830151367186,327
1713800595412735500,174.49073559570311,329
1713800596458335200,175.53633520507813,331
1713800597337790500,176.41579052734374,333
1713800598478640400,177.55664038085936,335
1713800599491011600,178.56901147460937,337
1713800600436928000,179.51492797851563,339
